Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Dec 28, 2018",28/12/2018,63.67,63.74,65.07,62.92,189.79K,-0.11%,,,28/12/2018,,65.07,,63.67,,,,,,,,,,
"Dec 31, 2018",31/12/2018,64.41,64.75,65.77,63.64,236.08K,1.16%,,,31/12/2018,,65.77,,64.41,,,,,,,,,,
"Jan 02, 2019",02/01/2019,62.22,63.12,63.2,59.82,419.31K,-3.40%,,,02/01/2019,,63.2,,62.22,,,,,,,,,,
"Jan 03, 2019",03/01/2019,62.45,63.78,65.96,62.12,452.80K,0.37%,,,03/01/2019,,65.96,,62.45,,,,,,,,,,
"Jan 04, 2019",04/01/2019,66.16,63.76,66.28,63.25,411.98K,5.94%,,,04/01/2019,,66.28,,66.16,,,,,,,,,,
"Jan 07, 2019",07/01/2019,68.25,66.81,69.3,65.52,405.32K,3.16%,,,07/01/2019,,69.3,,68.25,,,,,,,,,,
"Jan 08, 2019",08/01/2019,67.99,68.7,68.89,65.25,438.23K,-0.38%,,,08/01/2019,,68.89,,67.99,,,,,,,,,,
"Jan 09, 2019",09/01/2019,68.17,68.05,69.09,67.5,260.18K,0.26%,,,09/01/2019,,69.09,,68.17,,,,,,,,,,
"Jan 10, 2019",10/01/2019,70.28,67.87,70.99,66.86,325.07K,3.10%,,,10/01/2019,,70.99,,70.28,,,,,,,,,,
"Jan 11, 2019",11/01/2019,70.12,70,71.06,68.77,310.35K,-0.23%,,,11/01/2019,,71.06,,70.12,,,,,,,,,,
